username,review,rating,date,app,label,review_clean
Pengguna Google,kecewa ada gocar yg nipu saya PD tanggal 29bmaret 2026 pukul 19.00 wib udh saya byr pake gopay sebesar 242.000 alasannya GK punya gopay .udh ada bukti TF minta uang tunai sebesar 242.000 juga.tolong balikin gopay saya atas nama mahani driver bernama mardius A-95ET8NEGWSPVAV,1,2026-03-30 14:26:09,Grab,negatif,kecewa gocar nipu tanggal bmaret wib byr pake gopay alas gopay bukti tf uang tunai jugatolong balikin gopay nama mahani nama mardius aetnegwspvav
Pengguna Google,SISTEMNYA LOLOT BGT MESEN MAKANAN SEJAM LEBIH GA DPT DPT DRIVER,1,2026-04-05 07:35:32,Gojek,negatif,sistem lolot banget mesen makan jam dpt dpt
Pengguna Google,apk parah pesan makanan jam 7 dantang jam 11 di batalin gak bisa kemalemban ya udah tidur,1,2026-03-17 00:22:34,Grab,negatif,buruk pesan makan jam dantang jam batalin kemalemban ya tidur
Pengguna Google,makin sini dapet driver makin susah,1,2026-04-10 15:42:51,Gojek,negatif,dapet sulit
Pengguna Google,"udah di apdet pula, apdet mulu anying, nunggu 1 jam gila', februari 31 maret 2026, gak tawu gak mood gua lapar dan gua udah pesen makanan dari resto lain, disuruh nunggu driver sebelum makanannya di kemas, padahal mah resto lain s.o.p nya kagak gitu, inisial geprek bassmallah, + juga kagak bisa di pencet untuk chat resto gila' kontlolodon apatis kelen, yaelah kesalahan sistem anying harus out dulu dari gojek, karena warungnya lupa matiin kontlolodon",1,2026-03-31 16:01:51,Gojek,negatif,apdet apdet mulu anying nunggu jam gila februari maret tawu mood gua lapar gua sen makan resto suruh nunggu makan kemas mah resto sop kagak gitu inisial geprek bassmallah kagak pencet chat resto gila kontlolodon apatis kelen yaelah salah sistem anying out warung lupa matiin kontlolodon
Pengguna Google,"pesanan gagal terus dari jam 11 sampai jam 1,coba beberapa kali sama aja, padahal g ada angin g ada hujan, akhirnya jadi beli mie instan..orang lapar di kasi cobaan,app T+@!",1,2026-03-25 07:02:26,Grab,negatif,pesan gagal jam jam coba kali angin hujan beli mie instanorang lapar kasi cobaanapp
Pengguna Google,"ga banget akun tiba² di tangguhkan minta bantuan di suruh tunggu 5 hari, udah lewat berminggu-minggu masih aja akun saya tetep di tangguhkan udah minta bantuan beberapa kali no respon",1,2026-04-06 15:09:02,Grab,negatif,banget akun tiba tangguh bantu suruh tunggu bermingguminggu akun tetep tangguh bantu kali no respon
Pengguna Google,woy kalo hari raya perusahaan kasih insentif ke driver pake dana perusahaan lah. jangan naikin tarif ke penumpang. biasa naik grabcar ke rumah 38rb pas lebaran siang bolong pesen grabcar ke rumah tarifnya 146rb. ngotak dikit nyet,1,2026-03-21 08:28:36,Grab,negatif,woy kalo raya usaha kasih insentif pake dana usaha naikin tarif tumpang grabcar rumah rb pas lebaran siang bolong sen grabcar rumah tarif rb ngotak dikit nyet
Pengguna Google,driver nya pada belagu parah order slalu di batalin ga jelas lama2,1,2026-04-02 10:39:32,Gojek,negatif,belagu buruk order slalu batalin
Pengguna Google,bayar nya gk sedia bayar QRIS atau bayar di customer atau di bayar duluan riber pembayaran mu,2,2026-04-15 09:17:19,Grab,negatif,bayar sedia bayar qris bayar customer bayar duluan riber bayar mu
Pengguna Google,gajelas nih aplikasi tiba tiba gangguan pas lagi dipake buru buru,1,2026-04-18 07:06:54,Gojek,negatif,gajelas nih aplikasi ganggu pas dipake buru buru
Pengguna Google,"awal pakai bagus . murah, tp sejak saya deposit pakai maxim kaspro. terjadi kendala, saldo dipotong saat melakukan perjalanan, tp driver mengatakan bahwa saldo tidak diterima. sehingga driver minta uang tunai. saya komplain ke parameter dukungan maxim, katanya sudah menghubungi saya. tp saya tidak pernah menerima telpon dr pihak maxim. dicoba komplain sampai 3x. jawaban selalu sama. sampai saat ini saya tidak pernah menerima telpon dr maxim sama sekali",1,2026-04-21 04:52:31,Maxim,negatif,pakai bagus murah deposit pakai kaspro kendala saldo potong jalan saldo terima uang tunai komplain parameter dukung hubung terima telpon coba komplain terima telpon
Pengguna Google,"tidak bisa cancel, harus menunggu 1,5 jam tanpa info tanpa kepastian tiba-tiba di batalkan sepihak, waktu terbuang percuma",1,2026-03-21 13:26:01,Grab,negatif,cancel tunggu jam info pasti tibatiba batal buang
Pengguna Google,"awal pakai bagus . murah, tp sejak saya deposit pakai maxim kaspro. terjadi kendala, saldo dipotong saat melakukan perjalanan, tp driver mengatakan bahwa saldo tidak diterima. sehingga driver minta uang tunai. saya komplain ke parameter dukungan maxim, katanya sudah menghubungi saya. tp saya tidak pernah menerima telpon dr pihak maxim. dicoba komplain sampai 3x. jawaban selalu sama. sampai saat ini saya tidak pernah menerima telpon dr maxim sama sekali",1,2026-04-21 04:52:31,Maxim,negatif,pakai bagus murah deposit pakai kaspro kendala saldo potong jalan saldo terima uang tunai komplain parameter dukung hubung terima telpon coba komplain terima telpon
Pengguna Google,lama nunggu driver,1,2026-04-09 01:49:34,Gojek,negatif,nunggu
Pengguna Google,"kalau outlet udh tutup jgn di Adain lagi di apk, kasian drivernya, di outlet di terima orderan tapi outlet nya udh tutup dari grab ga bisa di cancel ampunnnn",2,2026-04-12 02:31:58,Grab,negatif,outlet tutup jgn adain kasi drivernya outlet terima order outlet tutup cancel ampunnnn
Pengguna Google,kyk disengaja order didiemin sama driver pdhl di map ada bbrp mobil disekitaran lokasi. tapi begitu beralih ke prioritas yg harganya 55rb pdhl jaraknya dekat langsung deh dapet driver. parahhh,2,2026-03-29 13:07:21,Gojek,negatif,kyk sengaja order didiemin pdhl map bbrp mobil sekitar lokasi alih prioritas harga rb pdhl jarak langsung dapet parahhh
Pengguna Google,"Pesanan selalu di batalkan, sampai 3 kali pesanan. membuang2 waktu. dan sangat mengecewakan",1,2026-03-17 11:39:14,Grab,negatif,pesan batal kali pesan buang kecewa
Muhamad Arif Rahmatulloh,"susah dapat driver , terutama gofood",1,2026-03-25 12:34:26,Gojek,negatif,sulit gofood
Pengguna Google,Lumayan,2,2026-04-10 09:38:06,Maxim,negatif,lumayan
Pengguna Google,"Makin jelek pelayanannya, kalau grab makanan siapin makanan dulu nunggu 1 jam ujung2 nya gak dapat driver waktu terbuang nungguin mending pesan lain saja",1,2026-04-06 14:40:11,Gojek,negatif,buruk layan makan siapin makan nunggu jam ujung buang nungguin mending pesan
Pengguna Google,"kecewa dg aplikasi grab jastip harusnya ada sosialisasi lebih sih shg driver2 udh paham kalo aplikasi grab jastib itu beda dg grab delivery krn kebanyakan driver taunya grab jastip itu sma dg grab delivery tinggal ambil barang pdhal beda. karna udh 2x ini zonk pakai grab jastip, kalo bkn krn urgen beli susu ndk bakal pakai grab jastip lg, kalo harganya puluhan ribu mngkn msh bisa dimaklumi tp ini ratusan ribu padahal udh dilebihin utk feenya malah gak dikembalikan kembaliannya .",2,2026-04-05 15:26:06,Grab,negatif,kecewa dg aplikasi jastip sosialisasi shg paham kalo aplikasi jastib beda dg delivery banyak tau jastip sma dg delivery tinggal ambil barang pdhal beda zonk pakai jastip kalo bkn urgen beli susu ndk pakai jastip kalo harga puluh ribu mngkn maklum ratus ribu dilebihin feenya kembali kembali
Pengguna Google,"Lemot, driver tidak ramah dan kadang di cancel dadakan oleh driver. Tolong diperbaiki, tolong perbaiki jaringan yg lemot",2,2026-03-17 10:37:17,Grab,negatif,lambat ramah kadang cancel dada tolong baik tolong baik jaring lambat
Pengguna Google,hari ini saya kecewa sama grab karena saya melakukan 2 kali pembayara dan uangnya tidak kembali,1,2026-04-01 14:31:47,Grab,negatif,kecewa kali pembayara uang
Pengguna Google,"wey susah dapet driver, prioritaspun gak dapet dapet. gimana ini gojek kenapa, driver pada ga mau ambil orderan",2,2026-03-29 10:20:52,Gojek,negatif,wey sulit dapet prioritas dapet dapet gimana ambil order
Pengguna Google,sory kecewa pesen makan 2 jam gk kunjung di proses berakhir d batalkan dan rumit. ga biasanha grab kaya gini...auto uninstal y babay,1,2026-03-28 16:04:28,Grab,negatif,sory kecewa sen makan jam kunjung proses batal rumit biasanha kaya giniauto uninstal babay
Pengguna Google,"pesan apa saja susah dapat driver, dan pada jauh2, bikin kapok customer",1,2026-04-07 23:43:59,Gojek,negatif,pesan sulit bikin kapok customer
Pengguna Google,kecewa bener² kecewa,1,2026-03-29 18:28:22,Grab,negatif,kecewa bener kecewa
Pengguna Google,dpt driverY susah...sekaliY dpt jauh posisi driverY...jdi buang waktu,1,2026-04-06 01:33:29,Grab,negatif,dpt drivery susahsekaliy dpt posisi driveryjdi buang
Pengguna Google,"untuk gofoodnya ga ngotak bgt biaya penanganannya , untuk gojek gocar ok.",2,2026-04-16 11:57:47,Gojek,negatif,gofoodnya ngotak banget biaya tangan gocar oke
Pengguna Google,serius nyari driver udah kaya nyari kerja? makin lama makin susah dapet driver apk aneh,1,2026-04-06 23:36:14,Grab,negatif,serius nyari kaya nyari kerja sulit dapet aneh
Pengguna Google,"apaaan...mesen food dari jam 01:15,dapat drivernya jam 02:30,gilaa...mau dicancel hub pusat bantuan malah AI yg jawab....yg bener laah grab,niat ngk bikin aplikasi....saya sebagai konsumen merasa dirugikan ini,",1,2026-03-18 19:36:12,Grab,negatif,apaaanmesen food jam drivernya jam gilaamau dicancel hub pusat bantu ai jawabyg bener laah grabniat ngk bikin aplikasisaya konsumen rugi
Pengguna Google,"grab sekarang sangat jelek, menunggu mendapatkan driver sangat lama hingga berjam-jam sedangkan tidak bisa cancel",1,2026-03-23 15:47:58,Grab,negatif,buruk tunggu berjamjam cancel
Pengguna Google,"saya pake grab bike karena ada yang hemat itu ditanggal 8 maret 2026 pesen dua kali di jam 12.52 dan 12.59,kenapa driver pertama pas sudah sampai di cancel? alasannya gak masuk akal. terus pas driver kedua sudah sampai tetapi gak tau dia sudah geser atau gimana karena perjalanan sangat jauh tetapi aman sampai rumah, saya mau kasih rating pas dicek kok cancel dari drivernya juga ini kenapa? dan saya pulangnya tidak pakai grab bike karena saya trauma",1,2026-03-15 20:36:51,Grab,negatif,pake bike hemat tanggal maret sen kali jam pas cancel alas masuk akal pas tau geser gimana jalan aman rumah kasih rating pas cek cancel drivernya pulang pakai bike trauma
Pengguna Google,payaahhhh susaaahhhhh sekali dapet driver,1,2026-03-28 14:36:09,Gojek,negatif,payaahhhh susaaahhhhh dapet
Pengguna Google,"aplikasi sampah udah lama nunggu 1 jam masih aja telat waktu di tambah terus, GILIRAN ORANG YG SALAH CEPAT KALIAN VIRALKAN GILIRAN SISTEM KALIAN SALAH DIEM BANYAK ALASAN GA ADA KOMPENSASI",1,2026-04-03 14:22:19,Grab,negatif,aplikasi sampah nunggu jam telat gilir orang salah cepat viralkan gilir sistem salah diem alas kompensasi
Pengguna Google,sisah bgt nyari driver padahal udah nunggu 1 jam 30 menit,1,2026-03-28 12:57:48,Gojek,negatif,sisah banget nyari nunggu jam menit
Pengguna Google,pengemudi kebanyakan cancel anjir,2,2026-04-21 06:09:59,Maxim,negatif,kemudi banyak cancel anjir
Bara Alfatih,"gopay pencuri saldo.saldo 800k lebih tidak bisa digunakan,alsan pihak gopay,trnsaksi tidak wajar",1,2026-03-26 02:16:59,Gojek,negatif,gopay curi saldosaldo digunakanalsan gopaytrnsaksi wajar
Pengguna Google,Aplikasi paling banyak dan sering ngirim notifikasi...😂,1,2026-03-25 07:21:54,Grab,negatif,aplikasi ngirim notifikasi
Pengguna Google,aplikasi lelet.. gambar GK muncul.. mau pesan gofood GK ada gambarnya sama sekali..,1,2026-04-05 01:44:59,Gojek,negatif,aplikasi lambat gambar muncul pesan gofood gambar
Pengguna Google,"gua kesinggung . gua pesenin gojek buat emak gua. tapi orng nya lagi di wc, otomatis gua kn yg ngadepin dlu kan bilng tunggu sebntr. perkiraan dia gua yg naik,dan emng badan gua gede,tiba2 bilang iya terus jln aja ngalor tnpa bilng maaf ga bisa angkut . itu sopan ga sh? gua kn blm bilang ibu gua yg naek, tp udh salah sangka dan ngabur gt aja",1,2026-04-22 13:41:58,Gojek,negatif,gua singgung gua senin emak gua orng wc otomatis gua kn ngadepin dlu bilng tunggu sebntr kira gua naikdan emng badan gua gedetiba bilang iya jln ngalor tnpa bilng maaf angkut sopan sh gua kn bilang gua naek salah sangka ngabur gt
Pengguna Google,"bikin kecewa mau login masuk SDH puny akun,dgn satu nomor TDK ganti ganti,malah JD sulit login/ masuk,JD bolk balik verifikasi akun google atau nomor skli dicoba pke google jawabnya ini akun BKN milikmu,bikin emosi",1,2026-03-31 20:57:49,Grab,negatif,bikin kecewa login masuk puny akundgn nomor ganti gantimalah jd sulit login masukjd bolk verifikasi akun google nomor skli coba pke google akun bkn milikmubikin emosi
Pengguna Google,"Buat penempatan drivernya di map dibikin akurat dan jelas dong tolong. kl konteks driver udh jalan tapi di map keliatan masih diem mah saya gk terlalu mempermasalahkan meski itu termasuk sudah jelek. tapi ini, saya liat driver jalan lawan arah dr tempat penjemputan, tentu bikin sy waswas takut saya kebalik alamat antara tujuan sama penjemputan ternyata yang salah aplikasiny. yg kayak gini nih bikin ambigu, makin males make maxim karena gk jelas. sekali lg, benerin maps dan penempatan drivernya.",2,2026-04-14 01:02:37,Maxim,negatif,tempat drivernya map bikin akurat tolong konteks jalan map liat diem mah masalah buruk liat jalan lawan arah jemput bikin waswas takut balik alamat tuju jemput salah aplikasiny kayak gin nih bikin ambigu males make benerin maps tempat drivernya
Pengguna Google,"susah bgt dpt driver, aneh",1,2026-04-10 11:41:23,Grab,negatif,sulit banget dpt aneh
Hanifah,driver lu gak niat kerja semua,1,2026-03-25 02:18:39,Gojek,negatif,niat kerja
Pengguna Google,aplikasi nya susah untuk dapat driver beberapa kali pesan selalu gaada driver kesel banget,2,2026-04-18 03:12:51,Maxim,negatif,aplikasi sulit kali pesan gaada kesel banget
Pengguna Google,lama bgtt dapet drivernya posisi beli makanan,1,2026-04-01 15:23:03,Gojek,negatif,banget dapet drivernya posisi beli makan
Pengguna Google,tidak solutif,1,2026-03-23 15:47:43,Grab,negatif,solutif
Pengguna Google,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai di cancel,1,2026-03-30 21:32:59,Gojek,negatif,tolong drivernya kompeten nunggu cancel
Anggun Heriyawati Arif,lama dapet driver nya,1,2026-03-25 16:06:17,Gojek,negatif,dapet
Pengguna Google,SUSAH BANGET DAPET DRIVER GORIDENHA MAU HEMAT ATAU BIASA SEKALIPUNNYA APALAGI SAAT UJAN. KALOPUN ADA DI CANCEL SM DRIVERNYA. TLG YA GOJEKK PERBAIKIII. TLG BGT PERBAIKIII INIMAH HUHUHU GABISA PULANG GUE JADINYA DN BERALIH KE APLIKASI LAIN😭🙏🏻,1,2026-04-05 14:46:04,Gojek,negatif,sulit banget dapet goridenha hemat sekalipun ujan kalo cancel sm drivernya tlg ya gojekk perbaikiii tlg banget perbaikiii inimah huhuhu gabisa pulang dn alih aplikasi lain
Pengguna Google,"aku udah pake yang prioritas tapi kok lama banget ya, udah gitu lebih cepet pake nontunai padahal uangku cash semua😭",1,2026-03-28 14:01:16,Grab,negatif,pake prioritas banget ya gitu cepet pake nontunai uang cash semua
Pengguna Google,lambatttt,1,2026-03-20 13:44:02,Grab,negatif,lambatttt
farā,"Akhir-akhir ini gojek ngelag parah di hp ku. Di saat saat genting dan butuh gojek, eh ngelag nya parah, ga bisa ke pesen. Waktu mau pesen, tulisannya ""koneksi internet mati"", padahal koneksi aman bgt. Tolong benahi dong min 🙏",1,2026-03-25 04:31:29,Gojek,negatif,akhirakhir lag buruk hp ku genting butuh eh lag buruk sen sen tulis koneksi internet mati koneksi aman banget tolong benah min
Pengguna Google,"aplikasi tidak bisa membantu, sy download gopay plus selalu ditolak trus 😡😡😡😡😡😡😡",1,2026-04-19 02:58:43,Gojek,negatif,aplikasi bantu download gopay plus tolak trus 
Pengguna Google,"syaa kesal karena driver yg sy pesan buat sya menunggu slama kurang lebih 20 menit sya cht tidal dibalas, sy tlpn tidak diangkat, tpi sy ttp sbar mnunggu tetapi sih pihak driver tidak merespon pdhl awalnya yg dri 6 mnit itu jadi 5 mnit tpi kmbli lagi lebih lama ke 7 mnit kesal krn sy bru pulang kerja dimalam hari tandai ya nama drivernya (agus antoni kristian marpaung) msi sy simpan ss muka nya dn sy tandai dia pdhl sy cht centang dua loh apalah slhnya klau drri awal itu gak ush di Terima lah .",2,2026-04-17 15:38:24,Gojek,negatif,syaa kesal pesan sya tunggu slama menit sya cht tidal balas tlpn angkat tpi sbar mnunggu merespon pdhl mnit mnit tpi kmbli mnit kesal bru pulang kerja malam tanda ya nama drivernya agus antoni kristian marpaung msi simpan ss muka dn tanda pdhl cht centang loh apa slhnya klau drri ush terima
Pengguna Google,Sering bangeError Aplikasi Grab Sampah,1,2026-04-09 14:24:19,Grab,negatif,bangeerror aplikasi sampah
Pengguna Google,"sering di cancel, sulit dapat driver",1,2026-04-02 08:54:14,Gojek,negatif,cancel sulit
Pengguna Google,"pesen grab bike,grab car,grabfood lama semua nunggu hampir 1 jam nggak ada yang ngambil pilih"" mau nya cuma yg lebih mahal baru di ambil percumah ada paket hemat kalo susah dapt driver nya",1,2026-03-30 12:11:20,Grab,negatif,sen bikegrab cargrabfood nunggu jam ngambil pilih mahal ambil percumah paket hemat kalo sulit dapt
Pengguna Google,ngsih driver jng yg jauh kasian penumpang dan drivernya,2,2026-04-04 12:46:13,Gojek,negatif,ngsih jng kasi tumpang drivernya
Pengguna Google,susah cari gocar pada jual mahal klo hujan begini,1,2026-04-11 08:58:50,Gojek,negatif,sulit cari gocar jual mahal hujan
Pengguna Google,"Penanganan masalah lambat ,tidak ada kepedulian, baik terhadap customer dan driver yang terkena musibah",1,2026-03-29 12:44:16,Gojek,negatif,tangan lambat peduli customer kena musibah
Pengguna Google,mahal sekali untuk gofood nya promo nya gaada,1,2026-04-01 16:23:47,Gojek,negatif,mahal gofood promo gaada
Pengguna Google,lama cari drivernya,2,2026-03-30 06:48:39,Grab,negatif,cari drivernya
Pengguna Google,tiba tiba dibekukan tanpa sebab,1,2026-03-20 21:49:14,Grab,negatif,beku
Pengguna Google,"jele bgt driver""nya sekarang, pesen prioritas+cari cepat, dari jam 5 nyampe jam 6.20. sekali nya dapet ga konfirm, ga gerak, nyampe ganti sendiri drivernya gitu"" juga. attitude nya jelek bgt. cuma beberapa aja yg bagus, itu juga cuma sedikit.",1,2026-04-13 11:19:33,Gojek,negatif,jele banget drivernya sen prioritascari cepat jam nyampe jam dapet konfirm gerak nyampe ganti drivernya gitu attitude buruk banget bagus
Pengguna Google,"payah, sering error",1,2026-04-03 13:06:15,Gojek,negatif,payah error
Pengguna Google,diskon nya tidak ada dan gratis ongkir nya sangat sedikit,1,2026-03-31 17:53:47,Gojek,negatif,diskon gratis ongkir
Pengguna Google,"segini dulu, jelek soalnya",1,2026-04-04 16:00:08,Gojek,negatif,gin buruk
Pengguna Google,Makin hari makin susah dapat driver,1,2026-03-31 12:52:03,Grab,negatif,sulit
Pengguna Google,"banyak mitra yang melakukan vandalisme dijalan raya, tolong ditindak tegas mitra yang buruk.",1,2026-04-05 05:04:00,Gojek,negatif,mitra vandalisme jalan raya tolong tindak mitra buruk
Pengguna Google,kenapa grab lemot sekarang?,2,2026-04-01 04:08:33,Grab,negatif,lambat
Pengguna Google,parahhhh kalau hujan dikit saja driver ngak mau ambil....,1,2026-04-12 12:27:51,Gojek,negatif,parahhhh hujan dikit ngak ambil
Pengguna Google,kocak driver pada jual mahal smua. nyari driver sampe 30 menit padahal di sekitar ada driver terdekat tapi ga ada yg mau ambil.rusak rusak,1,2026-04-10 10:29:30,Gojek,negatif,kocak jual mahal smua nyari sampe menit dekat ambilrusak rusak
Pengguna Google,"driver mobilnya kok aneh2 sih pada, driver yang pertama ngomel2 krn katanya kelamaan, padahal tidak ada notifikasi bahwa driver sudah sampai, kemudian driver kedua, padahal sudah sesuai titik pake alamat dan nama kost tapi malah dibilang kok keluar titik semua ya, tolong dong ntah itu masalah di apk nya atau drivernyaa yg ga tau, diperbaiki dong jangan asal marahi penumpang, jadi males pake maxim",1,2026-04-16 04:04:19,Maxim,negatif,mobil aneh ngomel notifikasi sesuai titik pake alamat nama kost bilang titik ya tolong ntah drivernyaa tau baik marah tumpang males pake
